Name,Pillar (auto),Discipline,Line,Importance,Level,Keystone,Related To,Regressions,Progressions,Also Appears In,Variant Of,Session Role,Notes,,,,,,,,,,,,,,
Handstand - Straddle,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,1,7,FALSE,,Handstand - Kick Up,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Half Straddle,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,3,7,FALSE,,,,,Handstand - Straddle,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Split,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,1,8,FALSE,,Handstand - Kick Up,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Stag,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,2,7,FALSE,,Handstand - Kick Up,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Tuck,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,2,6,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Flag,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,3,9,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Walk,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,3,8,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Diamond,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,3,8,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Shoulder Taps,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,3,8,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Partner,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,2,5,FALSE,,,,,Handstand - Freestanding,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Fingertip Holds,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,3,9,FALSE,,,Handstand - One Hand,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Seven,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,3,9,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Wolf,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,3,8,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Hollow Back,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,3,9,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - One Hand,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,3,10,TRUE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Head Position 2,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,3,5,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Handstand - Head Position 3,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,3,5,FALSE,,,,,,,,,,,,,,,Bent-Arm Balances,Static Inversion,Shaped Handstands,Press Entries,,,
Wall Walk,Strength & Capacity,Pressing Strength,Vertical Press,2,4,FALSE,,Wall Walk - Box,,Hand Balancing & Inversion - Static Inversion,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Wall Walk - Box,Strength & Capacity,Pressing Strength,Vertical Press,2,3,FALSE,,,Wall Walk,Hand Balancing & Inversion - Static Inversion,Wall Walk,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Ring Row,Strength & Capacity,Hanging & Pulling,Horizontal Pull,1,3,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Ring Row - Rotational,Strength & Capacity,Hanging & Pulling,Horizontal Pull,3,5,FALSE,,,Ring Row - Rotational Contralateral,,Ring Row,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Ring Row - Rotational Contralateral,Strength & Capacity,Hanging & Pulling,Horizontal Pull,3,6,FALSE,,,Ring Row - Rotational Ipsilateral,,Ring Row,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Ring Row - Rotational Ipsilateral,Strength & Capacity,Hanging & Pulling,Horizontal Pull,3,7,FALSE,,,,,Ring Row,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Chin Up,Strength & Capacity,Hanging & Pulling,Vertical Pull,1,5,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Chin Up - Banded,Strength & Capacity,Hanging & Pulling,Vertical Pull,1,3,FALSE,,,Chin Up,,Chin Up,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Chin Up - Negative,Strength & Capacity,Hanging & Pulling,Vertical Pull,3,3,FALSE,,,Chin Up,,Chin Up,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Chin Up - Hold,Strength & Capacity,Hanging & Pulling,Vertical Pull,3,4,FALSE,,,,,Chin Up,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Chin Up - Archer,Strength & Capacity,Hanging & Pulling,Vertical Pull,3,7,FALSE,,,Chin Up - Typewriter,,Chin Up,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Chin Up - Typewriter,Strength & Capacity,Hanging & Pulling,Vertical Pull,3,8,FALSE,,,Chin Up - One Arm,,Chin Up,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Chin Up - Mixed Grip,Strength & Capacity,Hanging & Pulling,Vertical Pull,3,6,FALSE,,,Chin Up - One Arm,,Chin Up,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Chin Up - Weighted,Strength & Capacity,Hanging & Pulling,Vertical Pull,1,7,FALSE,,Chin Up,Chin Up - One Arm,,Chin Up,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Chin Up - One Arm,Strength & Capacity,Hanging & Pulling,Vertical Pull,2,10,FALSE,,Chin Up,,,Chin Up,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Pull Up,Strength & Capacity,Hanging & Pulling,Vertical Pull,1,6,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Rope Climb - Legless,Strength & Capacity,Hanging & Pulling,Vertical Pull,2,8,TRUE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Rope Climb - Feet Assisted,Strength & Capacity,Hanging & Pulling,Vertical Pull,2,5,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Bicep Curl - Rings,Strength & Capacity,Pressing Strength,Arms & Accessory,3,3,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Bicep Curl - Dumbbell,Strength & Capacity,Pressing Strength,Arms & Accessory,3,2,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Bicep Curl - Rotational,Strength & Capacity,Pressing Strength,Arms & Accessory,3,3,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Hammer Curl,Strength & Capacity,Pressing Strength,Arms & Accessory,3,2,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Bent Over Row,Strength & Capacity,Hanging & Pulling,Horizontal Pull,2,2,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Bent Over Row - Single Arm,Strength & Capacity,Hanging & Pulling,Horizontal Pull,3,4,FALSE,,,,,Bent Over Row,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Pelican Curl,Strength & Capacity,Pressing Strength,Arms & Accessory,2,7,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Ring Facepull,Strength & Capacity,Hanging & Pulling,Horizontal Pull,2,1,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Infinity Ring Pull,Strength & Capacity,Hanging & Pulling,Vertical Pull,2,6,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Passive Hang,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,2,TRUE,,,,,,,Supinated / Pronated,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Passive Hang - Supinated,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,2,FALSE,,,,,Passive Hang,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Passive Hang - Assisted,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,1,FALSE,,,,,Passive Hang,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Passive Hang - Assisted Supinated,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,1,FALSE,,,,,Passive Hang,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Passive to Active Hang,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,3,FALSE,,,,,Active Hang,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Passive to Active Hang - Supinated,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,3,FALSE,,,,,Active Hang,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Active Hang,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,3,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Active Hang - Supinated,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,3,FALSE,,,,,Active Hang,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Eagle Hang,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,6,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Eagle Hang - Half,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,5,FALSE,,,,,Eagle Hang,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Hang - One Arm,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,7,FALSE,,,,,Passive Hang,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Hang - Hollow Body,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,5,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
False Grip Hang,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,3,5,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
False Grip Hang - Assisted,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,3,4,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Arching Scap Pull,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,4,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Arching Scap Pull - Supinated,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,4,FALSE,,,,,Arching Scap Pull,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Swinging,Strength & Capacity,Hanging & Pulling,Swinging & Brachiation,2,2,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Lateral Swing,Strength & Capacity,Hanging & Pulling,Swinging & Brachiation,2,3,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Brachiation,Strength & Capacity,Hanging & Pulling,Swinging & Brachiation,2,4,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Lache,Strength & Capacity,Hanging & Pulling,Swinging & Brachiation,2,7,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Glide Kip,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,2,6,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Swing to Precision,Strength & Capacity,Hanging & Pulling,Swinging & Brachiation,2,6,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Ape Swing,Strength & Capacity,Hanging & Pulling,Swinging & Brachiation,2,5,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Bar Kip,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,2,6,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Front Lever,Strength & Capacity,Straight Arm Strength,Front Lever Line,2,9,TRUE,,,,Core & Midline - Hanging Core & Compression,,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Front Lever - Straddle,Strength & Capacity,Straight Arm Strength,Front Lever Line,2,7,FALSE,,,,Core & Midline - Hanging Core & Compression,Front Lever,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Front Lever - Tuck,Strength & Capacity,Straight Arm Strength,Front Lever Line,2,5,FALSE,,,,Core & Midline - Hanging Core & Compression,Front Lever,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Ice Cream Maker,Strength & Capacity,Straight Arm Strength,Front Lever Line,2,7,FALSE,,,,Core & Midline - Hanging Core & Compression,Front Lever,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Front Lever Pull,Strength & Capacity,Straight Arm Strength,Front Lever Line,2,10,FALSE,,,,Core & Midline - Hanging Core & Compression,,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Front Lever Pull - Tuck,Strength & Capacity,Straight Arm Strength,Front Lever Line,2,7,FALSE,,,,Core & Midline - Hanging Core & Compression,Front Lever Pull,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Front Lever Pull - Straddle,Strength & Capacity,Straight Arm Strength,Front Lever Line,2,8,FALSE,,,,Core & Midline - Hanging Core & Compression,Front Lever Pull,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Front Lever - Deadlift,Strength & Capacity,Straight Arm Strength,Front Lever Line,2,9,FALSE,,,,Core & Midline - Hanging Core & Compression,Front Lever Pull,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Skin the Cat,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,2,5,FALSE,,,,"Straight Arm Strength - Front Lever Line, Straight Arm Strength - Back Lever Line",,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Skin the Cat - Jumping,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,2,6,FALSE,,,,"Straight Arm Strength - Front Lever Line, Straight Arm Strength - Back Lever Line",Skin the Cat,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Skin the Cat - Pike,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,2,7,FALSE,,,,"Straight Arm Strength - Front Lever Line, Straight Arm Strength - Back Lever Line",Skin the Cat,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
360 Pull,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,2,8,TRUE,,,,"Straight Arm Strength - Front Lever Line, Straight Arm Strength - Back Lever Line",,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
German Hang,Strength & Capacity,Straight Arm Strength,Back Lever Line,2,5,FALSE,,,,,,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
German Hang - Assisted,Strength & Capacity,Straight Arm Strength,Back Lever Line,2,4,FALSE,,,,,German Hang,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Back Lever,Strength & Capacity,Straight Arm Strength,Back Lever Line,2,8,TRUE,,,,,,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Back Lever - Tuck,Strength & Capacity,Straight Arm Strength,Back Lever Line,2,6,FALSE,,,,,Back Lever,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Back Lever - Straddle,Strength & Capacity,Straight Arm Strength,Back Lever Line,2,7,FALSE,,,,,Back Lever,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Human Flag,Strength & Capacity,Straight Arm Strength,Side Lever Line,2,9,TRUE,,,,Core & Midline - Rotational & Loaded Core,,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Human Flag - Feet Assisted,Strength & Capacity,Straight Arm Strength,Side Lever Line,2,5,FALSE,,,,Core & Midline - Rotational & Loaded Core,Human Flag,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Human Flag - Feet Assisted Straddle,Strength & Capacity,Straight Arm Strength,Side Lever Line,2,5,FALSE,,,,Core & Midline - Rotational & Loaded Core,Human Flag,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Human Flag - Kick Up,Strength & Capacity,Straight Arm Strength,Side Lever Line,2,6,FALSE,,,,Core & Midline - Rotational & Loaded Core,Human Flag,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Human Flag - Negative,Strength & Capacity,Straight Arm Strength,Side Lever Line,2,7,FALSE,,,,Core & Midline - Rotational & Loaded Core,Human Flag,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Human Flag - Straddle,Strength & Capacity,Straight Arm Strength,Side Lever Line,2,8,FALSE,,,,Core & Midline - Rotational & Loaded Core,Human Flag,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Human Flag - Angled,Strength & Capacity,Straight Arm Strength,Side Lever Line,2,6,FALSE,,,,Core & Midline - Rotational & Loaded Core,Human Flag,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Human Flag - Limp,Strength & Capacity,Straight Arm Strength,Side Lever Line,2,7,FALSE,,,,,Human Flag,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Inverted Hang - Rings,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,2,5,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Nutcracker,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,7,FALSE,,,,,,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Meat Hook,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,9,FALSE,,,,,,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Meat Hook - Two Hands Feet Assisted,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,6,FALSE,,,,,Meat Hook,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Meat Hook - Two Hands,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,7,FALSE,,,,,Meat Hook,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Meat Hook - Negative,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,8,FALSE,,,,,Meat Hook,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Meat Hook - Pull to One Arm,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,10,FALSE,,,,,Meat Hook,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Hanging Leg Raise,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,5,FALSE,,,,,,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Hanging Leg Raise - Tuck,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,3,FALSE,,,,,Hanging Leg Raise,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Hanging Leg Raise - Straddle,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,6,FALSE,,,,,Hanging Leg Raise,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Hanging Leg Raise - One Arm,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,9,FALSE,,,,,Hanging Leg Raise,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Around the World Leg Raise,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,7,FALSE,,,,,,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Around the World Leg Raise - Tuck,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,6,FALSE,,,,,Around the World Leg Raise,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Windscreen Wipers,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,6,FALSE,,,,,,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Hanging L-Sit,Strength & Capacity,Core & Midline,Hanging Core & Compression,2,4,FALSE,,,,,,,,,,,,,,,Hanging Core & Compression,Rotational & Loaded Core,Supine & Floor Core,,,,
Pull Over,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,2,6,FALSE,,,,,,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Pull Over - Jump,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,2,4,FALSE,,,,,Pull Over,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
Forward Roll - Bar,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,2,5,FALSE,,,,,,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Backward Roll - Bar,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,2,5,FALSE,,,,,,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Skin the Cat - Bar,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,2,5,FALSE,,,,"Straight Arm Strength - Front Lever Line, Straight Arm Strength - Back Lever Line",,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Muscle Up - Bar,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,2,7,FALSE,,,,"Pressing Strength - Dip Press, Hanging & Pulling - Vertical Pull",,,,,,,,,,,Passive / Active Hang,Vertical Pull,Horizontal Pull,Pull-to-Press Transition,Swinging & Brachiation,,
,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
Top Support - Rings,Strength & Capacity,Pressing Strength,Dip Press,2,3,FALSE,,,,,,,,,,,,,,,Horizontal Press,Dip Press,Vertical Press,Bent-Arm to Straight-Arm Press,Arms & Accessory,,
Ring Roll,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,2,6,FALSE,,,,,,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
Ring Roll - Backward,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,2,7,FALSE,,,,,,,,,,,,,,,Front Lever Line,Back Lever Line,Planche Line,Side Lever Line,Straight Arm Rotation,,
