Name,Pillar (auto),Discipline,Line,Importance,Level,Keystone,Related To,Regressions,Progressions,Also Appears In,Variant Of,Session Role,Notes,,,,,,,,,,,,,,
Ostrich Walk,Flocomotion,Ground Locomotion,Bipedal Forward,2,2,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Caterpillar Crawl,Flocomotion,Ground Locomotion,Quadrupedal Forward,2,2,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Rabbit Crawl,Flocomotion,Ground Locomotion,Quadrupedal Forward,2,3,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Tie the Knot,Flocomotion,Ground Locomotion,Quadrupedal Forward,2,5,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Step Through,Flocomotion,Ground Locomotion,Lateral / Multi-directional,2,4,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Horse Stance - Walk,Flocomotion,Ground Locomotion,Bipedal Forward,3,4,FALSE,,,,Hip & Leg Mobility - Middle Split Line,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Walking Lunge,Strength & Capacity,Loaded Lower Body Strength,Single-Leg Squat & Lunge,3,3,FALSE,,,,,Lunge ,,,,,,,,,,Bilateral Squat,Single-Leg Squat & Lunge,Lateral / Mobility Squat,Hip Hinge,Posterior Chain (knee),Anterior Chain (knee),Calf & Ankle
Curtsey Twist,Flocomotion,Ground Locomotion,Lateral / Multi-directional,3,4,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Broad Jump,Strength & Capacity,Bounciness & Elastic Power,Horizontal Jump,2,3,FALSE,,,,,,,,,,,,,,,Vertical Jump,Horizontal Jump,,,,,
Broad Jump - Backwards,Strength & Capacity,Bounciness & Elastic Power,Horizontal Jump,3,4,FALSE,,,,,,,,,,,,,,,Vertical Jump,Horizontal Jump,,,,,
Figure 8 Walk,Flocomotion,Rhythm & Flow,Rhythmic Foundations,2,6,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Figure 8 Walk - Single Arm,Flocomotion,Rhythm & Flow,Rhythmic Foundations,2,4,FALSE,,,,,Figure 8 Walk,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Forward Backward Swing Walk,Flocomotion,Rhythm & Flow,Rhythmic Foundations,2,4,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Teacup Walk,Flocomotion,Rhythm & Flow,Rhythmic Foundations,3,3,FALSE,,,,,,,,,,,,,,,Rhythmic Foundations,Floor Flow,Kicks,Acrobatics,Dance / Musical Movement,,
Single Leg Hops,Strength & Capacity,Bounciness & Elastic Power,Vertical Jump,2,3,FALSE,,,,,,,,,,,,,,,Vertical Jump,Horizontal Jump,,,,,
